#dig start(35;34),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,d,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,d,d,d,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,,d,d,d,d,d,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,d,,,d,,d,,,d,d,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,d,d,,d,d,d,d,d,,d,d,d,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,,,,d,d,d,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,d,,,,d,,,d,d,d,,,d,,,,d,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,d,,,d,d,,d,d,,,d,d,d,,,d,d,,d,d,,,d,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,d,d,,,d,,d,,,d,d,d,d,d,,,d,,d,,,d,d,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,d,,d,d,d,,,,,,d,d,d,d,d,d,d,,,,,,d,d,d,,d,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,d,d,,,d,,,d,,d,,d,d,d,d,d,d,d,,d,,d,,,d,,,d,d,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,d,d,,,d,,,d,,d,,d,d,d,d,d,d,d,,d,,d,,,d,,,d,d,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,d,,,,d,,d,d,d,,,,,,d,d,d,d,d,d,d,,,,,,d,d,d,,d,,,,d,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,d,d,d,,,,,d,d,,,d,,d,,,d,d,d,d,d,,,d,,d,,,d,d,,,,,d,d,d,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,d,d,d,d,d,,,,d,,,d,d,,d,d,,,d,d,d,,,d,d,,d,d,,,d,,,,d,d,d,d,d,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,d,,,,,,,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,,,,,,,,d,,,,,,,,,,,,,,,
,,,,,,,,,,,,,d,d,d,,d,,d,d,d,,,,,d,,,,d,,,d,d,d,,,d,,,,d,,,,,d,d,d,,d,,d,d,d,,,,,,,,,,,
,,,,,,,,,,,,,,d,d,d,d,d,d,d,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,,d,d,d,d,d,d,d,,,,,,,,,,,,
,,,,,,,,,,,,d,,,d,,d,,d,,,d,,,,,,,d,,,,d,d,d,,,,d,,,,,,,d,,,d,,d,,d,,,d,,,,,,,,,,
,,,,,,,,,,d,d,d,d,,,,d,,,,d,d,d,d,,,,d,d,d,,d,d,d,d,d,,d,d,d,,,,d,d,d,d,,,,d,,,,d,d,d,d,,,,,,,,
,,,,,,,,,,d,,d,d,d,,d,d,d,,d,d,d,,d,,,,,d,d,,d,d,d,d,d,,d,d,,,,,d,,d,d,d,,d,d,d,,d,d,d,,d,,,,,,,,
,,,,,,,,d,,d,,,,,,,d,,,,,,,d,,d,,,,d,,d,d,d,d,d,,d,,,,d,,d,,,,,,,d,,,,,,,d,,d,,,,,,
,,,,,,,d,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,d,,,,,d,d,d,d,d,,,,,d,d,d,d,,d,d,d,,d,d,d,,d,d,d,,d,d,d,d,,,,,
,,,,,,d,d,d,,d,d,d,d,,,,d,,,,d,d,d,d,,d,d,d,,d,d,d,d,d,d,d,d,d,,d,d,d,,d,d,d,d,,,,d,,,,d,d,d,d,,d,d,d,,,,
,,,,,,,,,,d,,d,,,d,d,d,d,d,,,d,,d,,,,,,d,d,d,d,d,d,d,d,d,,,,,,d,,d,,,d,d,d,d,d,,,d,,d,,,,,,,,
,,,,d,,d,,d,,d,,,,d,d,d,d,d,d,d,,,,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,,,,d,d,d,d,d,d,d,,,,d,,d,,d,,d,,
,,,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,i,i,i,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,
,,d,d,d,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,i,i,i,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,d,d,d
,,,d,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,i,i,i,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,d,
,,,,d,,d,,d,,d,,,,d,d,d,d,d,d,d,,,,d,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,d,,,,d,d,d,d,d,d,d,,,,d,,d,,d,,d,,
